App_Name,CPU_Usage,Memory_Usage,Battery_Level,Temperature,Disk_Space,Network_Signal,App_Version,Error_Logs,Device_Model,Session_Time,Num_App_Crashes,Duration_Since_Last_Charge,App_Usage_Level,Crash_Label
Netflix,82.05917893241481,92.31382183229674,100.0,63.17330452412867,250.11884170644345,76.88399783120397,1.0,0,Model_B,228.1002862280166,0,46.37929105598407,Low,0.0
Twitter,39.226704152354706,100.0,34.5843887167794,45.31552792111951,402.1224821671419,28.226545405667046,2.0,0,Model_B,225.44572246265042,1,47.34334184989969,Medium,0.0
Discord,44.75518551060619,59.324263671534496,70.9998790502652,44.11815189443169,509.02580724285707,2.988896046742673,1.2,1,Model_B,197.17398212442103,2,43.61037072319686,Medium,0.0
Slack,73.00017210808615,53.898257175489334,89.29747775412778,60.087697998552756,376.67122136782694,49.8211609736725,2.0,0,Model_B,224.38481827511828,0,34.65286333093764,High,1.0
Amazon,35.77547632937142,94.99091580337928,63.73867723448959,38.0536148764159,109.839477182731,90.60580383484762,1.1,0,Model_B,93.9750899332908,3,42.334308857663984,High,0.0
Spotify,6.390094204837382,15.941398044434361,93.43766485116008,25.365998747114432,356.3930376509352,21.059102803482343,2.0,0,Model_A,145.272955225421,0,19.69118548215622,Medium,0.0
Discord,7.433460888607146,92.49475657598005,66.73963652131323,24.247191509735824,315.2711651490945,15.392013278622308,2.0,1,Model_A,111.74265061222987,1,16.403545881355782,Medium,0.0
Snapchat,11.536280130570386,40.44243803629461,61.578027989768906,29.51555972851114,107.58138148067877,18.478464022110185,1.0,0,Model_A,119.49529813655747,1,47.75806593325443,Medium,0.0
Netflix,86.96813233436627,100.0,100.0,75.5580431150084,123.37245953152387,69.02765514376419,1.2,1,Model_C,169.6965229990031,1,42.34341425370222,High,0.0
Lyft,47.22264257562043,40.810225459880655,12.53851540950039,46.11518221570248,334.2268461615011,36.739704320266064,1.2,0,Model_B,12.106913702247315,1,5.500103655793486,Medium,0.0
Instagram,71.28823693447364,47.55515248579277,71.11475253093602,62.64485647484419,413.60315421285253,25.606082929159545,1.2,0,Model_C,211.9887359672414,1,38.884869680163746,High,0.0
Netflix,39.29093356048933,100.0,67.22914026800547,42.66551135877807,390.35088052605323,33.769754322638754,1.0,0,Model_B,228.4645354394279,1,0.582146389375291,Medium,0.0
Amazon,25.87109474156345,58.93055761690443,95.070650237495,31.437263253698973,310.4828879537935,30.90958889341835,1.1,1,Model_B,78.00281604174391,1,20.46989349744234,Low,0.0
Amazon,34.71921675622119,100.0,56.561987310667696,37.17777263813673,480.02165121865573,54.377708371306696,2.0,1,Model_B,101.76162741838297,1,4.043382212399337,Medium,1.0
Spotify,79.41823453171835,99.82329582866547,92.94058579166781,67.15842502039017,374.29531461753766,13.333353927174596,2.0,0,Model_A,221.29727173743396,1,17.68265602538374,Medium,0.0
Snapchat,62.52161250314382,100.0,52.33604934471962,57.34177054885429,277.4609694853616,50.87213845697296,1.0,1,Model_B,61.20946565790696,2,38.88883402828237,Medium,0.0
Twitter,93.7639779957902,100.0,28.376119559980324,76.09373726588512,417.8969575847752,31.174828831692647,1.0,0,Model_A,218.55358230531877,1,7.202908817739399,High,0.0
Spotify,67.97047785768339,62.7342149235242,100.0,60.622341175402234,148.72779738964772,93.26314851665737,1.1,0,Model_A,198.36402488304446,0,16.88317064963752,Low,0.0
Spotify,57.0181631754694,100.0,73.83321883819252,51.76291502721896,134.90828528672915,42.18164688086614,2.0,1,Model_A,225.36910934564915,2,12.256280343265374,Low,0.0
Instagram,61.01960089858345,30.21305715750514,47.555912196540746,62.976074755286625,497.3850087114128,10.000948461938119,1.1,1,Model_A,52.24357228629933,1,6.241163733406088,High,0.0
YouTube,94.23714394684146,100.0,100.0,77.23769628346253,486.3087106624762,93.36088950835233,1.1,1,Model_B,176.95021917167645,0,46.51997655610344,Medium,0.0
Snapchat,78.8200929866706,100.0,83.94930184338678,65.56547428639276,450.82427942442314,93.75001361322067,1.0,1,Model_A,70.00434348083006,0,20.8401272499234,Medium,1.0
Facebook,2.4041237366437818,49.45663814122239,66.37436294774223,22.649423551221,109.7569776170356,17.549431767135758,1.1,0,Model_B,188.13376912612298,1,1.046747296135079,High,1.0
Spotify,53.41396961356972,35.89996263375441,84.22158544557452,49.49470844280954,300.89675967850434,81.64244780842427,2.0,0,Model_A,190.99278339131203,0,32.52178520928799,Medium,0.0
Google Maps,68.83384115465648,94.58593437984956,76.96853533253477,61.38051298385205,273.94564568164526,86.19408348732794,1.1,0,Model_A,26.694262907175688,1,25.19417465366254,Low,0.0
Telegram,74.86984784391551,100.0,66.9068663375956,66.12399604028396,103.99154469066167,35.55964350369669,2.0,1,Model_B,12.230908631698334,1,39.35088461394763,Low,0.0
YouTube,21.314211931393668,100.0,45.491191040814684,34.4413371082324,229.26754350934516,15.950051690440837,1.1,0,Model_B,94.30501648063637,1,17.455544602309452,Medium,0.0
Facebook,86.71773544513522,100.0,100.0,68.25869379260615,238.15467798982326,79.84486146818469,1.0,1,Model_A,199.37150312075588,2,43.700989600872276,High,0.0
Google Maps,95.58431471751638,82.5799085121024,48.219918052794455,86.43786780493348,123.19879101513715,2.8306089205158425,2.0,1,Model_C,45.08798952383957,2,1.338404358039968,High,1.0
Snapchat,23.671530584486977,97.82219649716673,33.74884910214374,37.74832406598779,488.89898003588456,61.94074790826767,2.0,1,Model_B,137.8228545289277,0,25.165156169019134,Low,0.0
WhatsApp,88.26154575172458,100.0,62.39975575479416,79.05444238809821,252.27007572050616,34.19750952578625,1.1,0,Model_B,22.759158635947596,0,23.460999133834513,Low,0.0
Google Maps,9.69787625160954,39.68246693802534,11.085214553342926,25.05037774916783,268.74463418385216,59.602674514137234,2.0,0,Model_C,29.46204673133538,1,0.5665445957491944,Medium,0.0
Lyft,5.570683611524519,23.117483660052542,71.30104604256039,24.08278645863013,306.47239277337235,78.88475106856859,1.0,1,Model_A,152.74406775991238,1,3.03982651614772,Medium,0.0
YouTube,12.922380010274937,87.60959711288419,11.407609440761838,,454.1196487981256,82.87382149058435,1.1,1,Model_C,168.6538700535348,4,13.813977552751828,Medium,1.0
Discord,5.7741079467036,86.42043530298108,16.321437461524788,21.82328693526037,273.05455833914925,99.84673085270516,1.1,0,Model_B,59.35088945501146,2,27.5885100050196,High,1.0
Google Maps,84.5012237155776,54.17826858428083,89.66716752927259,72.97356098642578,276.9744714446456,64.02253480404188,1.2,1,Model_C,167.69811756397291,0,9.913505115899381,High,0.0
Uber,5.905014445827195,96.61562417393355,84.40956591464953,20.89205470569236,122.9789875675491,22.346407103144685,1.2,1,Model_C,29.125673056682942,5,8.830660755354325,Medium,1.0
WhatsApp,27.166419136365548,70.11064515453779,47.931066099217816,38.39460429253591,308.6424019677035,27.6102328580645,2.0,1,Model_A,127.84141103742547,0,6.519943599024495,Medium,0.0
Amazon,10.375634353585639,93.33248814939684,38.31621116205605,24.731106698283593,195.1485601728187,43.61450798631446,1.0,1,Model_C,98.6926387481484,0,44.53985937069571,High,0.0
Amazon,29.542203631376495,56.05640069453866,92.34915599120387,38.92240550400613,331.15212587277483,84.84706241694194,1.2,1,Model_B,98.98899376442341,1,27.106107246204527,Medium,0.0
Slack,9.055946760092048,65.53676378394087,100.0,29.81846437894894,153.9821345429243,36.685502625939,1.2,1,Model_A,10.852552762848644,0,11.822346044252027,Low,0.0
Lyft,66.8003250743014,70.41118989496054,63.58123163571036,59.681154354088704,366.4529253065521,68.82699528052112,1.2,1,Model_C,34.32619649673961,1,46.618333400036065,Low,0.0
Google Maps,13.332681634257515,95.90356520590638,61.302821153993435,30.34028033407619,316.8782256415705,4.508775515315699,1.0,1,Model_B,209.60448846485963,0,19.601396003593837,Low,0.0
Google Maps,85.18459258388879,85.02569519803521,27.385420464095912,69.58404329835615,242.93579393339724,43.005797504881635,1.1,0,Model_B,233.68078828180023,0,5.383789396032981,Medium,0.0
Slack,81.7191050726641,100.0,72.91066388007562,65.48746110140226,49.49628607028313,16.702612540881066,1.0,1,Model_C,48.60829463310032,1,24.5302328878729,Medium,0.0
Telegram,1.366168547060942,9.375394756068857,46.63307510002794,25.804888519154616,321.0076985657548,93.84429523754496,1.2,1,Model_B,189.38224493697234,4,20.881174528384218,Medium,0.0
Telegram,89.57263555151145,100.0,88.2769549522274,75.9867087840481,439.950826794681,79.14354808758642,1.0,1,Model_C,231.29595250925038,0,29.644866957158662,High,0.0
Slack,2.894431674336706,52.82596298915845,50.66407942626544,21.33339727724733,87.59009074440746,13.874074680612502,2.0,0,Model_A,103.84310076495976,2,33.556596417737225,High,1.0
Telegram,23.96457849575566,10.506394064372223,69.82593822162261,36.46797307114963,43.37636624773961,40.18513404289366,1.0,1,Model_C,184.9799862514933,3,16.607916403383406,Medium,0.0
Instagram,3.238913777599506,26.362083012856466,20.564126888798178,18.89416333361777,20.25921716316475,8.059171935670484,2.0,1,Model_A,148.98821930831184,1,8.216874328371656,Low,0.0
Google Maps,33.584348703931596,41.48190195271023,18.832529830406394,41.477327852892174,16.291193758184875,74.65586815321909,1.0,0,Model_C,54.18871738716266,1,19.850976834324875,Medium,0.0
Netflix,51.38665257132716,97.54133695973957,14.569769617175153,51.483006537472434,431.13941676960343,19.13655295654064,2.0,0,Model_A,145.6039658638571,1,24.23486574173245,High,1.0
Twitter,79.66448690151381,83.59673614186293,42.56666871812734,69.75032458622951,372.53884952522606,80.43339791504172,1.1,0,Model_B,156.8015640417623,0,22.38322723262664,Low,0.0
Uber,33.79815504698362,34.848039076502246,11.387969543948707,45.20408563680634,103.57674747235131,7.402265203489655,1.1,1,Model_A,232.30654901665332,2,1.6247765576336768,High,1.0
Instagram,70.54900246731167,67.22273705759017,100.0,66.67413952649673,469.56417526586665,57.29574528840473,1.2,1,Model_A,30.64563005562188,0,38.1243137658608,Medium,0.0
Snapchat,18.750445711898035,64.68409971497073,87.31574925083655,27.08374974798258,69.29398477229529,60.820120838569395,2.0,0,Model_C,202.66324377087852,2,16.47202411403709,Medium,0.0
Instagram,75.05984567441264,31.165664465147547,76.02795438555167,59.05016765547463,191.57132121440998,33.433473654373415,1.1,1,Model_C,94.36936936082736,1,14.060338488103096,Low,0.0
Netflix,23.599660590923754,49.70881771975272,84.4506010292167,34.89692616689596,231.47945204215995,16.42082228604782,2.0,0,Model_A,203.6065677894723,1,10.244327935170759,Medium,0.0
Snapchat,14.354475594376792,76.28016873491472,38.350649799207076,29.120699494794682,38.85862488292662,32.38291951219831,1.2,1,Model_B,38.15444341805517,1,27.978115468122756,High,1.0
Uber,18.54088503740543,59.07034520371859,97.95879768789479,27.716053174428545,177.90679135337257,49.55117557822604,1.1,1,Model_B,94.19059506304983,0,28.2759142782786,Medium,0.0
Netflix,18.20631288818554,72.85367757553875,100.0,28.041477685890253,52.162916788578855,96.91076445200967,1.2,0,Model_C,184.80317897115384,1,20.68175803031881,Low,0.0
